epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1136.49,0.42171,0.6404,1.01855,0.83423,0.78571,0.82688,0.62657,0.88375,1.69161,1.66354,0.000679204,0.000679204,0.000679204
55,1158.26,0.38157,0.60868,0.97948,0.92239,0.92857,0.93161,0.6734,0.85561,1.43293,1.68777,0.000665057,0.000665057,0.000665057
56,1179.93,0.39189,0.56947,0.97417,0.91463,0.92857,0.95583,0.686,0.83399,1.35458,1.66777,0.000650909,0.000650909,0.000650909
57,1202.4,0.37393,0.53896,0.95015,1,0.92537,0.9419,0.73256,0.82273,1.26176,1.6218,0.000636762,0.000636762,0.000636762
58,1224.42,0.35742,0.63273,0.9645,1,0.91675,0.97167,0.74859,0.81499,1.2454,1.57445,0.000622615,0.000622615,0.000622615
59,1246.68,0.36506,0.57868,0.93775,0.92725,0.91137,0.9445,0.74311,0.79335,1.20184,1.53888,0.000608468,0.000608468,0.000608468
60,1268.23,0.36959,0.55672,0.90725,1,0.83412,0.93521,0.75127,0.79634,1.15483,1.53754,0.000594321,0.000594321,0.000594321
61,1289.84,0.36847,0.57222,0.92614,0.92277,0.85367,0.95104,0.74428,0.77587,1.14098,1.50388,0.000580174,0.000580174,0.000580174
62,1311.5,0.4032,0.60112,1.01885,1,0.77555,0.92435,0.69928,0.82617,1.27048,1.52227,0.000566027,0.000566027,0.000566027
63,1333.04,0.3614,0.60518,0.9189,0.93713,0.78571,0.90644,0.67664,0.83417,1.4199,1.50256,0.00055188,0.00055188,0.00055188
64,1354.68,0.3644,0.55491,0.95004,0.92292,0.85714,0.90478,0.69517,0.81695,1.42394,1.47278,0.000537733,0.000537733,0.000537733
65,1376.37,0.34647,0.544,0.93652,0.92196,0.85714,0.92921,0.76768,0.74219,1.29978,1.45041,0.000523586,0.000523586,0.000523586
66,1394.87,0.36364,0.54583,0.94499,0.85379,1,0.9775,0.7522,0.72632,1.20875,1.46556,0.000509438,0.000509438,0.000509438
67,1414.53,0.3343,0.51254,0.92289,0.95726,0.78571,0.91983,0.75341,0.71601,1.15875,1.49046,0.000495291,0.000495291,0.000495291
68,1432.6,0.36952,0.54873,0.90537,0.90471,0.92857,0.94513,0.75709,0.74541,1.21682,1.52408,0.000481144,0.000481144,0.000481144
69,1451.2,0.30241,0.49511,0.91483,0.99456,0.92857,0.9642,0.76755,0.74231,1.19445,1.53914,0.000466997,0.000466997,0.000466997
70,1469.38,0.31934,0.4703,0.95009,1,0.90434,0.96583,0.71314,0.72283,1.14879,1.54595,0.00045285,0.00045285,0.00045285
71,1488.24,0.32285,0.50448,0.9331,0.97402,0.92857,0.92633,0.71051,0.74035,1.11017,1.56711,0.000438703,0.000438703,0.000438703
